symbol,direction,entry_time,exit_time,entry_price,exit_price,lots,stop_price,pyramid_index,exit_reason,gross_pl,commission,net_pl
XAGUSD.var,long,2020-05-15,2020-09-21,16.16208198550719,24.684,0.23,15.072863357488018,1,channel_exit,196.00411433333468,2.3000000000000003,193.70411433333467
XAUUSD.var,long,2019-05-31,2019-09-09,1305.48,1498.55,0.01,1284.328859152162,0,channel_exit,193.06999999999994,0.1,192.96999999999994
XAUUSD.var,long,2019-06-03,2019-09-09,1313.7780314270424,1498.55,0.01,1291.3999476215963,1,channel_exit,184.77196857295758,0.1,184.67196857295758
XAUUSD.var,long,2019-06-04,2019-09-09,1322.0024112827325,1498.55,0.01,1299.8207316675587,2,channel_exit,176.54758871726744,0.1,176.44758871726745
XAGUSD.var,long,2020-05-18,2020-09-21,16.57604737173902,24.684,0.22,15.447139675120805,2,channel_exit,178.3749578217416,2.2,176.1749578217416
XAGUSD.var,long,2020-05-19,2020-09-21,16.98956448865926,24.684,0.23,15.861852176871956,3,channel_exit,176.97201676083708,2.3000000000000003,174.67201676083707
XAUUSD.var,long,2019-06-05,2019-09-09,1330.5475721456382,1498.55,0.01,1307.5104765112233,3,channel_exit,168.0024278543617,0.1,167.90242785436172
XAGUSD.var,long,2020-04-14,2020-09-21,15.763,24.684,0.18,14.358374212448457,0,channel_exit,160.57800000000003,1.8,158.77800000000002
XAUUSD.var,long,2016-01-06,2016-03-14,1093.53,1234.89,0.01,1068.9813512651165,0,channel_exit,141.36000000000013,0.1,141.26000000000013
XAUUSD.var,long,2016-01-26,2016-03-14,1112.3294068931502,1234.89,0.01,1086.8993714762219,1,channel_exit,122.56059310684986,0.1,122.46059310684987
